Well Name,Ogrid Name,Well Spud Date,Well Status,Well API,Well Latitude,Well Longitude,Well Cluster,Facility Name,Facility Latitude,Facility Longitude,Facility Industry,Facility AI Number,Facility NOI Number,Date NOI Sent to NMED,Date NMED Received NOI,Date NMED Send Complete NOI To Company,Google Drive Link to NOI,Facility NO_TPY,Facility CO_TPY,Facility VOC_TPY,Facility PM10_TPY,Facility SO2_TPY,Potential Violation
NW LYBROOK UNIT #134H,"ENDURING RESOURCES, LLC",2/26/2015,Active,30-045-35622,36.26555054,-107.6327704,25,Enduring Resources - Chaco 2408-360 No134H,36.265519,-107.632761,O&G-Production Facility,34075,5703,5/19/2014,5/20/2014,5/28/2014,https://drive.google.com/file/d/1bvmT34sRo36juLjsupfnVKNXhJivH9kk/view?usp=sharing,15.1,24.8,47.7,,,No
CHACO 2308 16I #148H,"ENDURING RESOURCES, LLC",2/3/2014,Active,30-045-35500,36.2240143,-107.6791382,22,Enduring Resources - Chaco 2308-161 No147H,36.2239,-107.679039,O&G-Tank Battery/Bulk Fuel Storage,32567,5141,5/22/2013,5/24/2013,6/18/2013,https://drive.google.com/file/d/1fpR_UvGX_tCnIMgU6Ai-pjL1-gW2AWfv/view?usp=sharing,14.1,24.4,93.6,,,No
CHACO 2308 16I #147H,"ENDURING RESOURCES, LLC",2/20/2013,Active,30-045-35439,36.2239037,-107.6790314,22,Enduring Resources - Chaco 2308-161 No147H,36.2239,-107.679039,O&G-Tank Battery/Bulk Fuel Storage,32567,5141,5/22/2013,5/24/2013,6/18/2013,https://drive.google.com/file/d/1fpR_UvGX_tCnIMgU6Ai-pjL1-gW2AWfv/view?usp=sharing,14.1,24.4,93.6,,,Yes
WARNER CALDWELL #003B,"ENDURING RESOURCES, LLC",3/10/2014,Active,30-045-35506,36.2479401,-107.7023926,15,Enduring - Warner Caldwell No 3B,36.247928,-107.7024,O&G-Tank Battery/Bulk Fuel Storage,35268,6157,12/11/2014,12/22/2014,12/31/2014,https://drive.google.com/file/d/1xcxG8D3CKBtTx5hFyqrpzH8PlOOtEpQP/view?usp=sharing,20.5,24.4,8.1,,,Yes
CHACO 2308 24H #153H,"ENDURING RESOURCES, LLC",11/10/2014,Active,30-045-35550,36.2150841,-107.6249466,5,WPX Energy - Chaco 2308-24H No153H,36.215069,-107.62495,O&G-Production Facility,33925,5656,4/23/2014,4/28/2014,5/28/2014,https://drive.google.com/file/d/12rgTVKFXxZRcItwA_c4P61G9dYL50diI/view?usp=sharing,,,,,,No
CHACO 2308 24H #154H,"ENDURING RESOURCES, LLC",11/12/2014,Active,30-045-35549,36.215023,-107.6249466,5,WPX Energy - Chaco 2308-24H No153H,36.215069,-107.62495,O&G-Production Facility,33925,5656,4/23/2014,4/28/2014,5/28/2014,https://drive.google.com/file/d/12rgTVKFXxZRcItwA_c4P61G9dYL50diI/view?usp=sharing,,,,,,No
HODGES #012E,HILCORP ENERGY COMPANY,4/30/2012,Active,30-045-35229,36.4372635,-107.6772079,170,Hilcorp - Hodges 12E,36.437222,-107.676389,O&G-Production Facility,31480,4779,5/18/2012,4/19/2012,6/4/2012,https://drive.google.com/file/d/16Ep4F3P-gYyByJ8AEJYba_jYxnDpYz4B/view?usp=sharing,,,,,,Yes
HODGES #013F,HILCORP ENERGY COMPANY,4/27/2012,Active,30-045-35185,36.4414711,-107.6622467,189,Hilcorp - Hodges 13F,36.441667,-107.661667,O&G-Production Facility,31481,4780,5/18/2012,4/19/2012,6/4/2012,https://drive.google.com/file/d/16Ep4F3P-gYyByJ8AEJYba_jYxnDpYz4B/view?usp=sharing,,,,,,Yes
HODGES #014E,HILCORP ENERGY COMPANY,4/16/2012,Active,30-045-35261,36.4764214,-107.6851273,66,Hilcorp - Hodges 14E,36.476389,-107.684722,O&G-Well Head,31482,4781,5/18/2012,4/19/2012,6/4/2012,https://drive.google.com/file/d/16Ep4F3P-gYyByJ8AEJYba_jYxnDpYz4B/view?usp=sharing,,,,,,Yes
SAN JUAN #020S,HILCORP ENERGY COMPANY,10/8/2010,Active,30-045-34982,36.6805382,-107.7543869,127,Hilcorp - San Juan 20 & 20S Twinned Location,36.680556,-107.753889,O&G-Production Facility,31881,4897,9/12/2012,9/21/2012,10/16/2012,https://drive.google.com/file/d/1Lg0wHA82rFrrr5Y2i-mm8Wg4A7NH2se2/view?usp=sharing,9.73,4.44,5.93,,,Yes
LOGOS #006,"ENDURING RESOURCES, LLC",2/6/2013,Active,30-045-35422,36.2444305,-107.7024002,7,Enduring Resources - Logo No6,36.244439,-107.70245,O&G-Tank Battery/Bulk Fuel Storage,35261,6155,12/11/2014,12/22/2014,1/2/2015,https://drive.google.com/file/d/1OfT9Vv5kVi6kVsCt-4zrju4O1uOLUlQr/view?usp=sharing,20.4,24.7,7.4,,,Yes
CHACO 2308 24I #155H,"ENDURING RESOURCES, LLC",11/3/2014,Active,30-045-35551,36.209404,-107.6251678,6,"Enduring Resources - Chaco 155,156,153,154",36.209389,-107.625161,O&G-Production Facility,33983,5668,4/23/2014,5/2/2014,5/16/2014,https://drive.google.com/file/d/1p7VQVJ0r2bpINleyLXc_UYpIssGn4ZD4/view?usp=sharing,21.6,24.2,91.4,1.8,,No
