AI,Industry,Status,Facility,sic,Facility Name,Physical Address,Municipality,County,State,Zip,Latitude,Longitude,NO_tpy,CO_tpy,VOC_tpy,PM10_tpy,SO2_tpy
37717,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,WPX - East Pecos 22-14H,15.4 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.021,-103.967269,4.99,11.03,94.40,0.83,0.01
37724,O&G-Compressor Station,Active,Synthetic Minor,,Sendero Carlsbad Plant,2 mi SW of Loving,Loving,Eddy,NM,88256    ,32.263297,-104.122578,44.97,93.98,81.35,6.02,81.54
37725,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG - Screech Owl Central Tank Battery,15.89 mi SW of Malaga,Malaga,Eddy,NM,88263    ,32.038692,-104.231936,4.86,9.29,59.21,,
37726,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Mack Energy - Prince Rupert Tank Battery,17 mi SE of Hagerman,Hagerman,Chaves,NM,88232    ,32.998697,-104.053833,1.32,2.05,39.41,,
37727,O&G-Production Facility,Active,Minor,,Hilcorp - Florance 69 / Florance D LS / Florance 72,12.4 mi SE of Blanco,Blanco,San Juan,NM,87412    ,36.565278,-107.719278,32.0,3.9,10.3,,
37737,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Devon - Thistle Unit 34 CTB 2,24 mi NW of Jal,Jal,Lea,NM,88252    ,32.256111,-103.558944,13.0,24.5,78.9,4.1,
37745,O&G-Production Facility,Active,Notice of Intent,,EOG - Ross Gulch 8 Fed Com No1 Production Facility,35.3 mi SW of Jal,Jal,Lea,NM,88252    ,32.063864,-103.804042,7.9,,36.6,,
37746,O&G-Compressor Station,Active,Minor,,Delaware - Paduca Breaks Central Gathering Facility,30 mi SW of Jal,Jal,Lea,NM,88252    ,32.060211,-103.692075,55.5,54.1,95.3,3.8,
37750,O&G-Production Facility,Active,Synthetic Minor,,"Enduring Resources - W Lybrook UT No716,718,719,753,754,755",2.93 mi SSW of Nageezi,Nageezi,San Juan,NM,87037    ,36.224847,-107.75165,39.9,90.4,140.7,6.2,
37751,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG - Vast State 2H Battery,23.66 mi WSW of Jal,Jal,Lea,NM,88252    ,32.036899,-103.586451,5.65,10.81,67.29,,
37764,O&G-Production Facility,Active,Notice of Intent,,Enduring Resources - Chaco 2207-36D No193H,8.66 mi SW of Counselor,Councelor,Sandoval,NM,87018    ,36.100619,-107.535936,20.9,24.8,54.0,2.5,
37765,O&G-Production Facility,Active,Major-Title V ,,"Enduring Resources - W Lybrook UT No726,728,729,759,760,761",2.93 mi SSW of Nageezi,Nageezi,San Juan,NM,87037    ,36.206767,-107.765028,36.0,83.5,129.9,6.0,
37766,O&G-Production Facility,Active,Synthetic Minor,,EOG - Endurance Localized Gas Lift,20.8 mi SW opf Jal,Jal,Lea,NM,88252    ,32.003542,-103.536581,42.4,24.1,44.4,2.1,1.9
37770,O&G-Production Facility,Active,Synthetic Minor,,EOG - Hearns Gas Lift,21.5 mi NW of Jal,Jal,Lea,NM,88252    ,32.178322,-103.558642,27.5,10.5,32.2,2.0,9.4
37772,O&G-Production Facility,Active,Synthetic Minor,1311,OXY - Cedar Canyon Compressor Station,6.4 mi E of Malaga,Malaga,Eddy,NM,88263    ,32.210914,-103.963675,31.42,79.28,97.38,2.1,2.44
37773,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG - Skull Cap Fed Com 22H Battery,12.1 mi NW of Jal,Jal,Lea,NM,88252    ,32.174113,-103.386988,6.36,12.50,50.33,1.37,
37784,O&G-Production Facility,Active,Notice of Intent,,Cimarex - Foxx 31 Federal Unit 1H 4H Facility,24 mi SE of Whites City,Whites City,Eddy,NM,88268    ,32.00485,-104.222186,12.2,24.9,64.84,1.93,
37787,O&G-Production Facility,Active,Notice of Intent,,DJR - Nageezi Unit K03-2309,40 mi S of Bloomfield,Bloomfield,San Juan,NM,87413    ,36.254185,-107.77947,11.9,23.2,69.6,,
37788,O&G-Production Facility,Active,Notice of Intent,,Cimarex - State 14 Com 1 and 2H,11.5 mi SW of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.66245,-104.052539,0.43,0.36,34.22,,
37791,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG Operating - Stealth Fed Com 4H Battery,14.01 mi S of Maljamar,Maljamar,Lea,NM,88264    ,32.654076,-103.782846,4.54,8.86,43.7,1.37,
37793,O&G-Production Facility,Active,Notice of Intent,,Hilcorp - Little Stinker 01F,0.5 mi E of Farmington,Farmington,San Juan,NM,87401    ,36.821389,-108.063889,24,6.45,8.73,,
37794,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - Eunice Monument South Unit B CTB,5 mi SW of Monument,Monument,Lea,NM,88231    ,32.565278,-103.318611,,,22.03,,
37801,O&G-Production Facility,Active,Notice of Intent,,WPX Energy - Longview 12-4H,4.6 mi NE of Loving,Loving,Eddy,NM,88256    ,32.326128,-104.033053,7.79,16.3,94.38,,
37802,O&G-Compressor Station,Active,Notice of Intent,,WPX - Joell/Little Jewel Compressor Station,5.5 mi S of Carlsbad,Carlsbad,Eddy,NM,88220    ,32.341542,-104.230392,7.34,14.7,32.4,,
37803,O&G-Production Facility,Active,Synthetic Minor,,WPX - Longview 12-2H,4.3 mi NE of Loving,Loving,Eddy,NM,88256    ,32.325675,-104.037745,19.92,53.42,94.83,1.36,.05
37804,O&G-Production Facility,Active,Synthetic Minor,,WPX - RDX 28-9,17.8 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.019814,-103.890378,12.01,42.61,93.95,2.23,.06
37805,O&G-Production Facility,Active,Notice of Intent,,Cimarex - Adrianne 6 Federal 1,2.5 mi SE of Whites City,Whites City,Eddy,NM,88268    ,32.165861,-104.335339,8.9,19.1,26.7,1.3,
37808,O&G-Compressor Station,Active,Synthetic Minor,,Lucid - Hackberry Compressor Station,12.2 mi SW of Malaga,Malaga,Eddy,NM,88263    ,32.082777,-104.2025,67.2,67.1,95,4.6,0.3
37809,O&G-Production Facility,Active,Notice of Intent,,LOGOS - Escrito D14 2407 1H Well Site Facility,6.2 mi N Lybrook,Lybrook,Portable Source,NM,87013    ,36.318884,-107.552228,2.9,5.3,41.0,,
37809,O&G-Production Facility,Active,Notice of Intent,,LOGOS - Escrito D14 2407 1H Well Site Facility,6.2 mi N Lybrook,Lybrook,Rio Arriba,NM,87013    ,36.318884,-107.552228,2.9,5.3,41.0,,
37811,CON-Concrete Batch Plant,Active,Minor,,Concrete Mobility LLC - Tatum Pit,6.6 miles NNE of Tatum,Tatum,Lea,NM,88267    ,33.358322,-103.294981,16.56,1.31,1.06,0.71,
37811,CON-Concrete Batch Plant,Active,Minor,,Concrete Mobility LLC - Tatum Pit,6.6 miles NNE of Tatum,Tatum,Lea,NM,88267    ,33.358322,-103.294981,16.56,1.31,1.06,0.71,
37823,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,BTA Oil - Mesa B 3H Battery,24.77 miles W SW of Jal in Lea County,Jal,Lea,NM,88252    ,32.051182,-103.609404,4.06,7.86,58.78,,
37824,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,BTA Oil - Starcaster 18 4H Battery,21.91 miles SW of Eunice in Lea County,Eunice,Lea,NM,88231    ,32.310971,-103.502815,11.68,22.51,19.27,,
37825,O&G-Tank Battery/Bulk Fuel Storage,Active,,,BTA Oil - Grama 8817 JV-P Fed Com 2H Battery,19.2 miles WSW of Eunice in Lea County,Eunice,Lea,NM,88231    ,32.386098,-103.481772,4.62,9.01,58.31,0.99,
37826,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Oxy USA WTP LP - WA Ramsey Federal Com Battery No1,8.5 miles NE of Jal,Jal,Lea,NM,88252    ,32.182211,-103.065831,,,22.53,,
37828,O&G-Production Facility,Active,Notice of Intent,,WPX - RDX 16-15H 5,16 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.049028,-103.892964,9.02,18.07,94.9,2.69,0.02
37830,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG - King Air & Fed Com 3H Battery,13.17 miles SSW of Maljamar in Lea County,Maljamar,Lea,NM,88264    ,32.666599,-103.790627,4.83,9.12,30.7,,
37831,O&G-Production Facility,Active,Notice of Intent,,Cimarex Energy - Estill AD Federal 2 Facility,3.5 miles NE of Whites City in Eddy County,Whites City,Eddy,NM,88268    ,32.204167,-104.325278,9.64,20.69,27.84,1.54,
37832,O&G-Production Facility,Active,Notice of Intent,,Cimarex Energy - White City Federal 2 Facility,2.5 miles NE of Whites City in Eddy Co.,Whites City,Eddy,NM,88268    ,32.172189,-104.334781,9.64,20.69,26.43,1.54,
37833,O&G-Production Facility,Active,Notice of Intent,,Cimarex Energy - Black Magic 6 Com 1 Facility,2.9 miles SE of Whites City in Eddy County,Whites City,Eddy,NM,88268    ,32.1625,-104.327778,9.64,20.69,28.24,1.54,
37834,O&G-Tank Battery/Bulk Fuel Storage,Active,Synthetic Minor,,EnLink - Coyote Station,23 miles NW of Jal in Lea County,Jal,Lea,NM,88252    ,32.208861,-103.564872,1.67,3.33,104.54,3.76,.005
37836,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,BTA Oil - Mesa 2H Battery,27.13 miles WSW of Jal in Lea County,,,NM,88252    ,32.064242,-103.652864,5.0,9.3,65.9,1.0,
37837,O&G-Production Facility,Active,Notice of Intent,,Cimarex Energy Co - Azul State 13 Fed Com 1H Facility,24 miles NW of Jal,Jal,Lea,NM,,32.309056,-103.533611,5.23,,22.95,1.52,
37838,O&G-Production Facility,Active,Notice of Intent,,Cimarex Energy Co - Park State 36 Com 1 Facility,1.9 miles E of White City,,Eddy,NM,,32.170261,-104.344339,9.6,20.7,29.1,1.5,
37839,O&G-Production Facility,Active,Notice of Intent,,Cimarex - West Grama Ridge 8-5 2H 3H Facility,20 mi SW of Eunice,Eunice,Lea,NM,88231    ,32.39975,-103.494111,12.5,24.89,97.81,2.89,0.02
37840,O&G-Production Facility,Active,Notice of Intent,,Cimarex Energy - White City 31 Federal 3 Facility,3.5 mi NE of Whites City,Whites City,Eddy,NM,88268    ,32.178161,-104.337211,9.64,20.69,27.84,1.54,0.02
37841,O&G-Production Facility,Active,Minor,,Hilcorp - Caterpillar 3306NA and Cummins G5.9,6.2 miles SE of Bloomfield,Bloomfield,San Juan,NM,77777    ,36.601894,-107.941406,33.7,13.1,10.8,,
37841,O&G-Production Facility,Active,Minor,,Hilcorp - Caterpillar 3306NA and Cummins G5.9,6.2 miles SE of Bloomfield,Bloomfield,San Juan,NM,77777    ,36.601894,-107.941406,33.7,13.1,10.8,,
37842,O&G-Production Facility,Active,Minor,,Hilcorp - Caterpillar 3306NA and GM 98 HP,Portable Source,Portable Source,Portable Source,NM,77777    ,,,35.5,23.2,9.8,,
37842,O&G-Production Facility,Active,Minor,,Hilcorp - Caterpillar 3306NA and GM 98 HP,Portable Source,Portable Source,Portable Source,NM,77777    ,,,35.5,23.2,9.8,,
37844,O&G-Production Facility,Active,Notice of Intent,,Cimarex Energy - Triste Draw 25 Federal 5H Facility,27.6 mi NW of Jal,Jal,Lea,NM,88231    ,32.269331,-103.623861,8.49,20.01,28.07,,
37844,O&G-Production Facility,Active,Notice of Intent,,Cimarex Energy - Triste Draw 25 Federal 5H Facility,27.6 mi NW of Jal,Jal,Lea,NM,88231    ,32.269331,-103.623861,8.49,20.01,28.07,,
37845,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Devon Energy - Cotton Draw Unit 12 CTB 2,24 mi SE of Loving,Loving,Eddy,NM,88256    ,32.140328,-103.727781,9.62,19.07,91.87,3.35,
37846,O&G-Compressor Station,Active,Notice of Intent,,Hilcorp - Portable Cummins G8.3-135 HP and 118 HP,Portable Source,Portable Source,Portable Source,NM,77777    ,36.727628,-107.955217,20.49,18.53,8.78,,
37847,O&G-Production Facility,Active,Minor,,Hilcorp - Portable  Cummins GTA8.3,Portable Source,Portable Source,Portable Source,NM,77777    ,,,35.6,9.0,12.1,,
37850,O&G-Production Facility,Active,Notice of Intent,,Cimarex Energy - New Mexico DD State Com 4 Facility,3.80 mi E of Whites City,Whites City,Eddy,NM,88220    ,32.171031,-104.311561,12.6,24.9,20.8,1.1,
37852,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG - Copperhead 31 Fed Com 3H Battery,14.47 mi SSE of Malaga,Malaga,Eddy,NM,88263    ,32.020008,-104.018419,4.8,9.4,61.1,1.0,
37853,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG - Macho Nacho State Com 10H Battery,26.58 mi E of Malaga,Malaga,Lea,NM,88263    ,32.225685,-103.617983,7.69,14.93,60.06,,
37854,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG - Sombrero Fed Com 4H Battery,1545 mi NW of Jal,Jal,Lea,NM,88252    ,32.211408,-103.430497,4.27,8.29,10.42,,
37855,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG - Music Master 27 Fed 3H Battery,9.42 mi W of Jal,Jal,Lea,NM,88252    ,32.107688,-103.35413,5.18,10.17,11.57,,
37856,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,OXY - Cedar Canyon 21 Fed CTB,5.3 mi SE of Malaga,Malaga,Eddy,NM,88256    ,32.198819,-103.984278,5.2,7.4,68.3,1.5,
37857,MINING-Rock Crusher,Active,Synthetic Minor,,J H Services - Aggregate Plant No1 GCP2-7286,4.4 mi SW of Dexter,Dexter,Chaves,NM,88230    ,33.151611,-104.436083,10.3,2.2,0.83,27.6,
37857,MINING-Rock Crusher,Active,Synthetic Minor,,J H Services - Aggregate Plant No1 GCP2-7286,4.4 mi SW of Dexter,Dexter,Eddy,NM,88230    ,33.151611,-104.436083,10.3,2.2,0.83,27.6,
37859,O&G-Production Facility,Active,Notice of Intent,,Cimarex - State LF 30 4H Facility,10 mi NE of Maljamar,Maljamar,Lea,NM,88264    ,32.886247,-103.598439,12.37,24.93,48.73,0.94,
37860,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO- BEU No143 Battery,6.3 mi NE of Carlsbad,Carlsbad,Eddy,NM,88220    ,32.460453,-104.128128,19.46,1.80,4.22,,
37861,O&G-Production Facility,Active,Notice of Intent,,Enduring Resources - N. Escavada UT No 311/312,6.39 mi SW of Counselor,Nageezi,San Juan,NM,87018    ,36.147919,-107.543722,13.8,24.9,40.5,0.9,
37862,O&G-Production Facility,Active,Notice of Intent,,Chevron - Codorniz 28 Federal 3,25.1 mi W of Hobbs,Hobbs,Lea,NM,88240    ,32.626361,-103.563083,,,25.6,,
37863,O&G-Production Facility,Active,Notice of Intent,,Encana - Nageezi Unit B33-2409,40 mi S of Bloomfield,Bloomfield,San Juan,NM,87413    ,36.277341,-107.793787,11.9,23.2,75.8,,
37864,O&G-Production Facility,Active,Minor,,ETC - Bennetville Compressor Station,2 mi SW of Jal,Jal,Lea,NM,88252    ,32.068979,-103.204973,34.3,93.9,39.0,2.4,
37865,O&G-Production Facility,Active,Notice of Intent,,Cimarex - Gulf Federal Com 3 Facility,6.64 mi S of Carlsbad,Carlsbad,Eddy,NM,88220    ,32.338194,-104.248939,9.6,20.7,29.1,1.5,
37866,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG Operating - Spruce Goose Fed Com 3H Battery,12.7 mi SSW of Maljamar,Maljamar,Lea,NM,88264    ,32.677035,-103.813296,5.4,10.6,18.9,,
37867,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG Operating - Regnar Fed Com 15 H Battery,2.1 mi SSE of Maljamar,Maljamar,Lea,NM,88264    ,32.827008,-103.75289,,,,,
37868,O&G-Production Facility,Active,Synthetic Minor,,WPX - East Pecos 22-1H (22-9H),15.3 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.021408,-103.976181,12.8,39.6,94.9,1.4,0.3
37869,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,OXY - Sand Dunes South Corridor CTB,15.2 mi E of Malaga,Malaga,Eddy,NM,88256    ,32.273303,-103.812523,8.19,7.48,64.5,0.589,
37870,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Spur - GJ West Coop Unit South Battery,5.52 mi WSW of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.81101,-104.075698,1.3,2.3,35.3,,15.0
37872,O&G-Compressor Station,Active,Notice of Intent,,WPX - Pinnacle Longview Compressor Station,4.77 mi NE of Loving,Loving,Eddy,NM,88256    ,32.327517,-104.029753,3.88,7.52,31.1,1.0,
37873,O&G-Tank Battery/Bulk Fuel Storage,Active,Minor,,EOG -  Audacious BTL Fed CTB,23.8 mi W of Jal,Jal,Lea,NM,88252    ,32.115994,-103.60995,8.7,16.6,34.4,1.1,1.7
37874,O&G-Compressor Station,Active,Synthetic Minor,,Lucid - Grandi Compressor Station,4 mi W of Loving,Loving,Eddy,NM,88256    ,32.278389,-104.170444,63.4,63.3,97.6,4.5,2.2
37875,CON-Concrete Batch Plant,Active,Notice of Intent,,EOG - Berry APN State No5H,19.2 mi NW of Eunice,Eunice,Lea,NM,88231    ,32.508,-103.4941,12.0,16.2,47.1,,
37876,CON-Concrete Batch Plant,Active,Synthetic Minor,,Jobe Materials - CBP NM-5 ,3.2 mi S of Columbus ,Columbus,Luna,NM,88029    ,31.784444,-107.621944,95,95,95,,50
37877,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,"OXY - Cedar Canyon 22 Oil Gathering Station
",5.7 mi ESE of Malaga,Malaga,Eddy,NM,88256    ,32.200694,-103.978206,,,28.7,,
37878,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,OXY - Harroun 15-15 Oil Gathering Station,5.4 mi E Malaga,Malaga,Eddy,NM,88256    ,32.220089,-103.978689,,,11.5,,
37879,O&G-Well Head,Active,Notice of Intent,,XTO - Salty Dog SWD 04,3.6 mi NW Farmington ,Farmington,San Juan,NM,87401    ,36.842778,-108.263056,24,6.5,3.2,,
37881,O&G-Production Facility,Active,Notice of Intent,,Cimarex Energy - White City 31 Federal 4 Facility,3.5 miles NE of Whites City,Whites City,Eddy,NM,88268    ,32.168689,-104.327289,12.6,24.9,18.3,1.0,0.02
37882,O&G-Compressor Station,Active,Synthetic Minor,,Sendero - Pecos Compressor Station ,2.2 mi S of Loving,Loving,Eddy,NM,88256    ,32.2598,-104.0998,60.7,89.3,54.7,8.4,
37883,O&G-Production Facility,Active,Synthetic Minor,,ConocoPhillips - Battle Axe 27 WF1,28 mi WSW Jal,Jal,Lea,NM,88252    ,32.018542,-103.656269,19.32,41.69,87.21,0.97,0.66
37886,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Spur - Clydesdale 1 Fee 6H Battery ,10.94 mi S Artesia,Artesia,Eddy,NM,88210    ,32.685909,-104.43014,1.79,3.21,65.43,,
37887,O&G-Tank Battery/Bulk Fuel Storage,Active,Synthetic Minor,,Chevron - Hayhurst NM Section 9 CTB,13.9 mi SW of Malaga,Malaga,Eddy,NM,88263    ,32.052328,-104.200936,8.0,6.8,40.0,,4.9
37890,ENRG-CoGeneration,Active,Notice of Exemption,,PNM - Clines Corners Switching Station - Standby Generator ,6.5 mi N NW Clines Corners,Clines Corners,Torrance,NM,87070    ,,,,,,,
37891,O&G-Compressor Station,Active,Synthetic Minor,,Lucid - Limestone Compressor Station,17.75 mi W Jal,Jal,Lea,NM,88252    ,32.267782,-103.437279,59.2,59.9,82.8,3.9,44.6
37893,O&G-Production Facility,Active,Notice of Intent,,LOGOS - Heros 2308 09L Well Pad,3.1 m SE of Nageezi,Nageezi,San Juan,NM,87037    ,36.238493,-107.694942,10.7,19.76,20.5,1.07,
37894,O&G-Loading/Unloading Rack,Active,Minor,,US Transport Inc - Farmington Terminal,0.56 mi SW of intersection,Farmington,San Juan,NM,87401    ,36.717389,-108.23,,,,2.0,
37895,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,BTA Oil - Rojo AE 7811 JV-P Fed Com 1H Battery ,HWY 128 SW CR 2/,Jal,Lea,NM,88252    ,32.10814,-103.56493,6.0,11.8,60.2,,
37897,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG - Red Raider Central Tank Battery ,19.97 mi NW Jal,Jal,Lea,NM,88252    ,32.1866,-103.5237,4.3,8.2,16.5,,
37898,O&G-Production Facility,Active,Notice of Intent,,Devon - Onyx 29 CTB 1,22.6 mi SE Artesia,Artesia,Eddy,NM,88210    ,32.634716,-104.10205,12.3,24.3,98.2,2.2,
37899,O&G-Production Facility,Active,Notice of Intent,,EOG - Buzz 21 State No701 H,7.3 mi SW Malaga,Malaga,Eddy,NM,88263    ,32.123372,-104.111725,6.7,13.2,44,,
37900,O&G-Production Facility,Active,Notice of Intent,,"Cimarex - Hackberry 26 Federal Com 1H, 2H Facility",22.3 mi NE of Carlsbad,Carlsbad,Eddy,NM,88255    ,32.633019,-103.936469,10.7,25.0,86.1,7.2,
37901,ENGR-Emergency Generation,Active,Notice of Exemption,,WPX - WPX Energy Carlsbad Office,4.8 mi SE,Carlsbad,Eddy,NM,88220    ,,,,,,,
37902,O&G-Production Facility,Active,Notice of Intent,,EOG - Beowulf 33 State Com No601 H,13.25 mi NW Jal,Jal,Lea,NM,88252    ,32.254653,-103.376097,11.9,23.6,41.2,0.73,
37903,O&G-Production Facility,Active,Notice of Intent,,Cimarex - Wigeon 23-26 Federal Com 4H Facility,7.83 mi SE of Whites City,Whites City,Eddy,NM,88268    ,32.120408,-104.259731,5.12,10.25,99.63,,
37904,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG - Windward Federal 2H Battery,20.74 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.195313,-103.718947,12.01,23.56,29.31,,
37905,O&G-Well Head,Active,Notice of Intent,,Devon - Thistle Unit 34 Wellpad 3,23.5 mi from Jal,Jal,Lea,NM,88252    ,32.254583,-103.557944,11.6,23.2,13.4,,
37906,O&G-Well Head,Active,Notice of Intent,,Devon - Thistle Unit 34 Wellpad 2,23.7 mi NW of Jal,Jal,Lea,NM,88252    ,32.2556,-103.561631,11.6,23.2,12.7,,
37907,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Devon Energy - Boomslang 14 CTB 1,21.7 mi NW of Jal,Jal,Lea,NM,88252    ,32.224319,-103.539675,12.3,24.6,90.5,3.1,
37909,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,EOG - Persimmon 24 State Com No201H,20.2 mi W of Eunice,Eunice,Lea,NM,88231    ,32.463392,-103.518481,7.4,14.6,42.5,,
37910,O&G-Production Facility,Active,Notice of Intent,,Devon -  Agate PWU 21 CTB 1,23.6 mi NE Carlsbad,Carlsbad,Eddy,NM,88220    ,32.645503,-104.085635,10.4,20.6,98.6,2.1,
37911,O&G-Production Facility,Active,Notice of Intent,,Cimarex - Quail Ridge 32 State 2 Facility,27 mi SW of Hobbs,Hobbs,Lea,NM,88240    ,32.614861,-103.584469,1.83,2.48,60.59,,
37912,O&G-Production Facility,Active,Synthetic Minor,,ConocoPhillips - War Hammer 25 WF1,26 mi SE of Malaga,Malaga,Lea,NM,88252    ,32.015556,-103.624722,14.8,31.4,94.5,0.9,
37913,O&G-Production Facility,Active,Notice of Intent,,EOG - Bridge State Unit No602H,14 mi SW of Eunice,Eunice,Lea,NM,88231    ,32.355875,-103.388092,,,,,
37914,O&G-Production Facility,Active,Notice of Intent,,OXY - Swearingen A Fee Com 3H,3.2 mi N of Loving,Loving,Eddy,NM,88263    ,32.328183,-104.102197,,,10.04,,
37915,CON-Concrete Batch Plant,Active,Minor,,ABC - Portable Processing Plant - GCP2-7346,3.18 mi NW of Farmington,Farmington,San Juan,NM,87401    ,36.757196,-108.263267,37.82,8.15,,25.6,
37916,O&G-Production Facility,Active,Notice of Intent,,COG Operating - Windward Gas Lift Station ,31.17 mi W of Jal,Jal,Lea,NM,88252    ,32.19538,-103.716574,11.6,23.2,22.3,0.8,
37917,O&G-Tank Battery/Bulk Fuel Storage,Active,Minor,,EOG - Rider BRQ Fed Battery,,,Lea,NM,,32.124069,-103.430031,15.6,18.9,60.7,,
37920,O&G-Production Facility,Active,Minor,1311,Matador - Charlie Sweeney Facility,2.6 mi W of Loving,Loving,Eddy,NM,88256    ,32.270283,-104.13165,33.6,63.9,40.8,1.2,.026
37921,O&G-Compressor Station,Active,Minor,,Lucid Energy - Hay Hollow Compressor Station,19.5 mi SSW of Loving,Loving,Eddy,NM,88256    ,32.006361,-104.176614,24.7,26.5,42,1.72,1.93
37923,O&G-Production Facility,Active,Notice of Intent,,Lagacy - WA Simpson Facility,11.7 mi NE of Lovington ,Lovington,Lea,NM,88260    ,33.044028,-103.183353,,,13.1,,
37924,O&G-Production Facility,Active,Notice of Intent,,Lagacy - Lea G State Facility,13 mi NE of Loving ,Loving,Eddy,NM,88260    ,33.042019,-103.166969,,,16.6,,
37925,O&G-Production Facility,Active,Notice of Intent,,Cimarex - Maduro Unit 8 Facility ,31.8 mi SW of Hobbs,Hobbs,Lea,NM,88240    ,32.629181,-103.674739,,,57.8,,
37926,O&G-Production Facility,Active,Minor,,Cimarex - Hallertau 4 Federal 1H 3H 4H 7H 8H Facility,27.15 mi W of Bennett,Bennett,Lea,NM,88256    ,32.078781,-103.673289,27.4,33.9,26.9,1.1,
37927,O&G-Production Facility,Active,Notice of Intent,,Cimarex - Laguna Grande Unit 7H Facility ,4.9 mi NE of Malaga,Malaga,Eddy,NM,88263    ,32.282708,-104.003828,12.4,24.97,64.3,2.01,
37928,O&G-Tank Battery/Bulk Fuel Storage,Active,Synthetic Minor,,Chevron - El Toro Facility,2.0 mi NE of Loving,Loving,Eddy,NM,88256    ,32.299028,-104.065889,11.23,10.9,43.18,1.82,1.60
37931,O&G-Compressor Station,Active,Synthetic Minor,,Sendero - State Compressor Station ,4.3 mi SW Loving,Loving,Eddy,NM,88256    ,32.262506,-104.1502,41.9,83.4,25.1,5.5,
37933,O&G-Tank Battery/Bulk Fuel Storage,Active,Minor,,EOG - Hound 30 Fed CTB,18.2 mi W of Jal,Jal,Lea,NM,88252    ,32.099,-103.5132,1.2,2.3,15.6,1.1,
37934,O&G-Tank Battery/Bulk Fuel Storage,Active,Minor,,EOG - Magnolia 15 Fed Central Tank Battery ,21.5 mi W of Jal,Jal,Lea,NM,88252    ,32.049739,-103.566367,1.2,2.3,15.5,2.7,
37935,O&G-Tank Battery/Bulk Fuel Storage,Active,Minor,,EOG - Convoy State CTB ,22 mi W of Jal,Jal,Lea,NM,88252    ,32.187925,-103.571814,8.89,16.41,31.83,1.49,
37936,O&G-Production Facility,Active,Notice of Intent,,Cimarex - Mescalero 19 Federal 2 Facility ,17.28 mi SE of Maljamar,Maljamar,Lea,NM,88264    ,32.642589,-103.604811,5.5,11.6,25.52,,
37937,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG - Roadrunner Fed Com 1H & 11H Battery,13.66 mi SW of Malaga,Malaga,Eddy,NM,88263    ,32.093191,-104.245148,4.84,9.35,64.7,1.22,
37939,ENRG-CoGeneration,Active,Notice of Exemption,,PNM - Blackwater Converter Station - Standby Generator,6 mi SSE of Clovis,Clovis,Curry,NM,88102    ,,,,,,,
37940,O&G-Compressor Station,Active,Minor,,DLK - Black River Booster Facility,2.1 mi SW of Loving,Loving,Eddy,NM,88256    ,32.268432,-104.125209,32.5,78.4,43.1,,
