AI,Industry,Status,Facility,sic,Facility Name,Physical Address,Municipality,County,State,Zip,Latitude,Longitude,NO_tpy,CO_tpy,VOC_tpy,PM10_tpy,SO2_tpy
262,O&G-Compressor Station,Active,Major-Title V ,4922,Lucid Artesia - Penasco Compressor Station,9.2 mi SSW of Artesia,Artesia,Eddy,NM,88210    ,32.712778,-104.447222,96.6,94.2,39.9,1.2,6.0
263,O&G-Compressor Station,Active,Synthetic Minor,,Fitz Compressor Station,16.7 mi NE of Carlsbad,Carlsbad,Eddy,NM,88220,32.616944,-104.059167,47.5,33.8,65.6,2.6,2.5
265,O&G-Compressor Station,Active,No Permit Required,4922,American Gathering - Site A,13 miles NE Artesia,Artesia,Eddy,NM,88210,32.933474,-104.19785,,,,,
266,O&G-Compressor Station,Active,Synthetic Minor,,Magnum Compressor Station,14.5 miles NE of Carlsbad,Carlsbad,Eddy,NM,88220,32.585373,-104.077383,62.1,64.9,93.3,2.7,
267,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,1311,"Centurion Pipeline - Dagger Draw, NOI-0929",15 miles S of Artesia,Artesia,Eddy,NM,88210,32.643136,-104.531806,,,24.74,,
268,O&G-Gas Plant,Active,Synthetic Minor,1321,East Carlsbad Gas Plant,2 miles NE of Loving,Loving,Eddy,NM,88256,32.317139,-104.076222,35.1,40.8,60.6,,1.3
271,O&G-Loading/Unloading Rack,Active,Notice of Intent,4612,Pecos Station,5 miles NE of Loving,Loving,Eddy,NM,88256,32.316111,-104.050278,,,46.13,,
272,O&G-Compressor Station,Active,No Permit Required,4922,Federal No1Compressor Station,18 miles WNW Carlsbad,Carlsbad,Eddy,NM,88220,32.430178,-104.574581,5.2,2.6,2.6,,
273,O&G-Compressor Station,Active,No Permit Required,4922,Loving Compressor Station,2 miles E of Loving,Loving,Eddy,NM,88256,32.289432,-104.067651,,,,,
277,O&G-Compressor Station,Active,No Permit Required,4922,Oryx Pardue Compressor Station,4 miles NE of Loving,Loving,Eddy,NM,88256,32.320091,-104.066274,22.2,15.5,3.6,,
278,O&G-Tank Battery/Bulk Fuel Storage,Active,No Permit Required,1311,Rising Star Energy - Pms 8 Tank Battery,10 miles SE of Loco Hills,Artesia,Eddy,NM,88210,32.764282,-103.892998,,,6.80,,
281,O&G-Compressor Station,Active,No Permit Required,4922,Superior Pipeline - Compressor Station No1036,8 miles NE of Carlsbad,Carlsbad,Eddy,NM,88220,32.563519,-104.177728,24.1,3.1,0.97,,
283,O&G-Compressor Station,Active,Notice of Intent,4922,Bunnel No2 Compressor Station,22 miles W of Carlsbad,Carlsbad,Eddy,NM,88220,32.475481,-104.638213,,,,,
288,O&G-Compressor Station,Active,Notice of Intent,4922,HOC Federal Compressor Station,18 miles W of Carlsbad,Carlsbad,Eddy,NM,88220,32.421113,-104.561862,5.78,2.89,,,
289,O&G-Compressor Station,Active,No Permit Required,4922,Lowe State No2 Compressor Station,19 miles W of Carlsbad,Carlsbad,Eddy,NM,88220,32.428337,-104.563954,14.52,1.87,0.55,,
291,O&G-Compressor Station,Active,Minor,1311,DCP - Cabin Lake Compressor Station,16.5 mi NE of Loving,Loving,Eddy,NM,88220,32.431736,-103.861917,19.3,19.3,46.3,0.5,0.4
295,O&G-Compressor Station,Active,Minor,,DCP - North Compressor Station,4.5 miles NE of Loving,Loving,Eddy,NM,88256,32.3495,-104.06527,30.18,9.05,53.4,.21,.03
298,O&G-Gas Plant,Active,Notice of Intent,1311,Dakota Resoureces - Drag C No2 Gas Plant,7 miles SW of Carlsbad,Carlsbad,Eddy,NM,88220,,,0.36,0.36,,,19.71
299,O&G-Gas Plant,Active,No Permit Required,1311,Loving Gas Plant,5 miles FROM Loving,Loving,Eddy,NM,88256,32.240778,-104.075578,19.2,22.8,24.7,,
302,O&G-Compressor Station,Active,Synthetic Minor,,DCP - Sand Dunes Booster Station,21 miles ESE of  Loving,Loving,Eddy,NM,88256,32.283611,-103.741694,97.3,97.3,80.9,1.4,
304,O&G-Compressor Station,Active,No Permit Required,4922,7 Rivers Compressor Station,16 Miles NW from Carlsbad,Carlsbad,Eddy,NM,88240,32.601171,-104.469349,13.53,4.34,0.96,,
307,O&G-Compressor Station,Active,Synthetic Minor,,DCP - Cal-Mon Compressor Station,20 mi E of Loving,Loving,Eddy,NM,88256    ,32.26374,-103.75183,24.98,24.98,53.74,1.96,0.14
